unique_id,normalization
work:W.0415,Histoire De Saladin
work:W.0416,Histoire De Son Temps
work:W.0417,Histoire De Walstein
work:W.0418,"Histoire Des Juifs, Depuis Jesus-christ Jusqu'à Présent"
work:W.0419,Histoire Des Ouvrages Des Ignorans
work:W.0420,Histoire Des Révolutions D'espagne
work:W.0421,Histoire Des Révolutions De Pologne
work:W.0422,Histoire Des Révolutions De Suède
work:W.0423,Histoire Des Sévarambes
work:W.0424,Histoire Du Calendrier
work:W.0425,Histoire Du Costume
work:W.0426,Histoire D’angleterre
work:W.0427,Histoire Romaine
work:W.0428,"Historia Critica De España, Y De La Cultura Española"
work:W.0429,Historia Ecclesiastica
work:W.0430,Historia Naturalis
work:W.0431,Historiae Alexandri Magni Macedonis
work:W.0432,"Homer, Traduit Par M. * * *"
work:W.0433,Homère Vengé
work:W.0434,Horace
work:W.0435,Horacios De Cimarosa
work:W.0436,Hudibras
work:W.0437,Hudibrat
work:W.0438,Héraclius
work:W.0439,I. 8. E. I
work:W.0440,Idilio De Gesnero
work:W.0441,Idille
work:W.0442,Idillii
work:W.0443,Idylle
work:W.0444,Ifigenia In Aulide
work:W.0445,Ignez
work:W.0446,Il Cane Di Diogene
work:W.0447,Il Dente Posticcio
work:W.0448,Il Libro Del Cortegiano
work:W.0449,Il Messia
work:W.0450,Il Newtonianismo Per Le Dame Ovvero Dialoghi Sopra La Luce E I Colori
work:W.0451,Il Pastor Fido
work:W.0452,Il Quadro D’imeneo
work:W.0453,Il Tasso Canto
work:W.0454,Iliad
work:W.0455,Imeneo
work:W.0456,Inferno
work:W.0457,Institution De La Religion Chrétienne
work:W.0458,"Instituto Oratoria, Book X"
work:W.0459,Intelligenzblatt
work:W.0460,Introductio In Universam Geographiam
work:W.0461,Introduction À L'histoire Générale Et Politique De L'univers
work:W.0462,Iphigenia In Tauris
work:W.0463,Iphigénie
work:W.0464,Istoria Degli Uccelli Tom. 4. In Firenze 1773
work:W.0465,Istruzione A’giusdicenti Del Granducato Di Toscana
work:W.0466,Jerusalem
work:W.0467,"Jesu, Lexicon Biblicum"
work:W.0468,Joconde
work:W.0469,Joseph
work:W.0470,"Journal De Comerce, De Politique, Et De Litterature"
work:W.0471,Journal De Paris
work:W.0472,Journal Des Arts
work:W.0473,Journal Des Coulisses
work:W.0474,Journal Politique De Bouillon
work:W.0475,Juge De La Campagne
work:W.0476,King Lear
work:W.0477,Kleitophon
work:W.0478,Kohelet
work:W.0479,Koran
work:W.0480,L'ami Du Peuple
work:W.0481,L'héautontimorouménos
work:W.0482,L'ordre Des Francs-maçons Trahi Et Le Secret Des Mopses Révélé
work:W.0483,"L'ordre Profond Et L'ordre Mince, Considérés Par Rapport Aux Effets De L'artillerie"
work:W.0484,"L'écumoire, Ou Tanzaï Et Néadarné"
work:W.0485,L'élève De Terpsicore Ou Le Nourrisson Dans Le Satin
work:W.0486,La Araucana
work:W.0487,La Aurora
work:W.0488,La Bagatelle
work:W.0489,La Bataille De Porus
work:W.0490,La Bella Mano
work:W.0491,La Bibliothèque Des Dames
work:W.0492,La Bona Mare
work:W.0493,La Bouche De Fer.
work:W.0494,La Buscona Ó El Anzuelo De Fenisa
work:W.0495,La Béatitude Chrétienne
work:W.0496,La Campagne
work:W.0497,La Casa Nuova
work:W.0498,La Casualidad Á Media Noche
work:W.0499,"La Clef Des Interêts Simples & Composez, Contentant Des Regles Pratiques Claires & Étendues, Pour Toutes Sortes D’interets, & Pour Les Termes Du Payement, Quels Qu’ils Puissent Être"
work:W.0500,La Comedia Nueva Ó El Cafe: Comedia En Dos Actos En Prosa
work:W.0501,"La Compagnia Dei Salvadeghi, O Sia I Rusteghi"
work:W.0502,La Comtesse De Vergi
work:W.0503,La Esposa Delinqüente
work:W.0504,La Estrella De Sevilla
work:W.0505,La Familia Árabe
work:W.0506,La Fausseté Des Vertus Humaines
work:W.0507,La Fête De La Cinquantaine
work:W.0508,La Force De L’amour
work:W.0509,La Forest De Windsor
work:W.0510,La Franciade
work:W.0511,La Gazeta
work:W.0512,La Gazeta De Bayona De Francia
work:W.0513,La Gazeta Literaria
work:W.0514,La Gazette
work:W.0515,La Gazette D’hollande
work:W.0516,La Henriade
work:W.0517,La Lanterne Magique.
work:W.0518,La Ligue
work:W.0519,La Logique Ou L'art De Penser
work:W.0520,La Lugareña Orgullosa
work:W.0521,La Magdelaine Au Désert De La Sainte-baume En Provence
work:W.0522,La Maniére De Bien Penser Dans Les Ouvrages D’esprit
work:W.0523,"La Metamorphose Des Haillons, La Metamorfosi De’cenci"
work:W.0524,"La Mogigata: Comedia En Tres Actos, En Verso"
