Titel,Replacement,Typ,Anzahl
Oedipe,,,2
Oeuv. posth.,,,1
Off.,,,1
Omelie,,,1
Oraison funebre de Torsac,,,1
Orat.,,,2
Oratore,,,2
Orazioni,,,1
Oreste,,,1
Orfano della Cina,,,1
Orlando,,,1
Orléans Délivré,,,1
Oroonoko,,,1
Orphée,,,1
Osservatore,,,1
Ossian,,,1
Otaiti,,,1
Othello,,,2
Padre Amoroso,,,1
Pamela,,,1
Pane,,,1
Panurge,,,2
"Par., canto XI.",,,1
"Paradis
                                perdu",Paradis Perdu,,1
Paradis Perdu,Paradis Perdu,,2
Paradis perdu,Paradis Perdu,,2
Paradiso,,,1
Paraiso,,,1
"Parallele des
                                        Anciens & des Modernes",,,1
Paraphrase sur l’Histoire de Susanne,,,1
Parc de Newgate,,,1
Parfait Maquignon,,,1
Pasagonzalo,Pasagonzalo,,9
Pasagonzalos,Pasagonzalo,,1
Pastor Fido,Pastor Fido,,1
Pastor fido,Pastor Fido,,1
Pazza per amore,,,1
Penelope,,,1
Pensador,,,1
Pensadora,,,3
Pensadoras,,,1
Pensées,,,1
Pensées Philosophiques,,,1
Pensées de Sénèque,,,1
"Pensées divers. sur les
                                        Cometes",,,1
Pensées ingenieuses de ceux qui sont morts en plaisantant,,,1
"Pensées ingénieuses
                                des Peres de l’Eglise",,,1
Pharamond,,,1
Pharsale,,,2
Phaëton,,,1
Philaster,,,1
"Philaster, ou l’Amour saignant",,,1
Philosophe Nouvelliste,,,1
Philosophia Naturalis Principia Mathematica,,,3
Phèdre,Phèdre,,1
Phédre,Phèdre,,5
Phœnix,,,1
"Pindare aux
                                    Enfers",,,1
Pintura,,,2
"Pièces choisies de
                                    nos meilleurs Poëtes",,,1
Plaintes de Melpomene,,,1
"Pleyto de Hernán Cortés, con Pánfilo de
Narvaez",,,1
Pluralité des Mondes,,,1
Polyanthea,,,1
Pomone,,,1
Pompe Funèbre,,,1
Postillon du soir,,,1
Pourceaugniac,,,1
"Poëme de la
                                Chartreuse",,,1
Poëme de la Religion,,,2
Poëme sur la Loi Naturelle,,,1
Poëme sur le désastre de Lisbonne,,,1
Principe,,,1
Principes de la Foi,,,1
Prometeo,,,1
Prop. lib. 2,,,1
Prophetes Modernes,,,1
Prophetiae Evangelicae ac mors Isajae,,,1
Prov. 19,,,1
Proverbios morales.,,,1
Provotz d’husband,,,1
"Précieuses
                                Ridicules",,,1
Précieuses ridicules,,,1
Pucelle,,,2
Pucelle d’Orléans,,,1
"Purg., c. X.",Purgatorio,,1
Purgatorio,Purgatorio,,1
Purgatorio. Canto III.,Purgatorio,,1
Père de Famille,,,1
"Quattro Elegantissime Egloghe Rusticali, ora la prima volta poste insieme, e con diligenza stampate",,,1
Quinte-Curce,,,1
Quintessence,Quintessence,,2
Quintessences,Quintessence,,1
Quixote,Don Quichotte,,5
Ragionamento sopra i mezzi per far rifiorire l’Agricoltura,,,1
Raisons pour dissuader les Gens d’aller à la Comedie,,,1
Rappresentazione,,,1
Recettes de la Comtesse,,,1
Recherche de la Verité,,,1
Reconciliacion,,,1
Recueil des Poësies Morales & Chrétiennes,,,1
Recueil des meilleures Pièces de Poësie,,,1
Regañon,,,21
Regañon general,,,3
Regia Parnassi,,,1
Reine Enchanteresse,,,1
"Religio
         Medici",Religio Medici,,1
Religio Medici,Religio Medici,,1
Religion du Medecin,Religio Medici,,1
Rem. Amo.,,,1
Revolutions de Suède,,,1
Rhadamiste,,,1
Riccardo Terzo,,,1
Riccio rapito,,,1
Rim. Bur.,Rim. Bur.,,1
Rime Burl.,Rim. Bur.,,1
Rodogune,,,1
Rolands,,,1
Roman Comique,,,2
Romeo & de Suliet,,,1
Romulus,,,2
Roy Lear,,,1
Roy du Pont,,,1
Rud.,,,1
Rudimentos Chronologicos,,,1
Ruf.,,,1
Rules and orders of the Society established at London for the encouragement of arts manufactures and Commerce,,,1
Réfléxions desintéressées,,,1
Régles pour l’observation du Carême,,,1
Réligion du Laique,,,1
Répétition,,,1
S. 6.,,,1
S. Marco,,,1
SS. Escrituras,,,2
Saffo,,,1
Saggi Cap. xxxiv.,,,1
Saggio sopra l’Uomo,,,1
Saggio sull’Uomo,,,1
Sagra Scrittura,Bibel,,2
"Sagrada
                                        Escritura",Bibel,,1
Sagrada Escritura,Bibel,,3
Saint Loüis,,,1
"Samson
                                    Aconiste’s",,,1
"Sancho Ortíz de
                                        las Roelas",,,1
"Sancho Ortíz de las
                                        Roelas",,,1
Sat,Sat.,,3
Sat.,Sat.,,9
Sat. VI.,Sat.,,1
Sat. X lib. I.,Sat.,,1
"Sat., I.",Sat.,,1
"Sat., X.",Sat.,,1
Satyre de l’Honneur ,,,1
Sav.,,,1
Sayr.,,,1
Scapin,,,1
Scuola delle donne,,,1
Scuole d’Atene,,,1
Secchia rapita,,,1
Segreto Nuovo,,,1
