,Counts,Unclear
Tracia,1,
Ponte di Rialto,1,
Mestre,1,
Cambrai,2,
Alicante,2,
Champs Elysées,1,
Ténare,1,
Giappone,1,
champs Elizées,1,
mer rouge,1,
Jourdain,1,
Little-Britain,1,
Bedford-Row,1,
Hampstead,1,
Rue de St. Jacques,1,
Hyde-Park,2,
Argyle,1,
Hamilton,1,
Ivry-sur-Seine,2,
Anet,1,
Damasippo,1,
Alais,1,
Mastricht,1,
'Hant''s Harbour',1,
Lóndres,2,
Petersburgo,1,
Anatolia,1,
Delfo,1,
Troya,1,
Corfu,1,
Thessaloniki,1,
République d’Athénes,1,
Laxenburg,1,
Cataluña,1,
Cirra,1,
Aracinto,1,
Tosco,1,
Monreal,1,
Cabero,1,
París,1,
Derby,1,
Rotterdam,1,
Zelande,1,
Berg-op-Zoom,1,
Ararat,1,
Abbaïe de la Trape,1,
Cervo,1,
Shorham,2,
Swansea,1,
Canary Islands,3,
Madeira,1,
Languedoc-Roussillon,2,
Bas-Rhin,1,
Pennine Alps,1,
Estonia,1,
Latvia,1,
Normandia,1,
Libya,1,
Wellfleet,1,
Bencoolen,3,
Sumatra,5,
Topoy-Turvy,4,
Lacedemoni,2,
Sel,1,
Odensé,1,
Corinthe,1,
Baviera,1,
North Holland,2,
Texel,1,
Ibla,1,
Segovia,1,
Pulgosa Park,1,
Jombouctou,1,
place de Paris,1,
rue Saint-Denis,2,
Lodeve,1,
Saint-Cloud,1,
rue Vivienne,1,
Lodève,1,
Brazil,1,
Pompee Point,1,
Haymarket Theatre,3,
Broad St. Giles,1,
Whitechapel,1,
Theatre Royal,2,
Charing Cross,1,
Convent-garden,1,
Empire,1,
York Buldings,1,
Leadenhall Street,1,
Europea,1,
Nordlichen America,1,
Neu Mexico,1,
Babilonia,3,
Jouy,1,
Rovigno,1,
Istria,1,
Boemia,1,
Caprée,1,
Rennes,1,
Monbéliard,1,
Quirinal,1,
Sybérie,2,
Fontainebleau,1,
Parme,2,
Besançon,1,
Lowell,1,
Trent,1,
New Orleans,2,
Komka,1,
Cardigan,1,
Lower Germany (Roman province),1,
le Quartier de la Nouvelle Forêt,1,
Pompeii,1,
Coventrj,2,
gran Bertagna,1,
