Titel,Replacement,
Les Vaporeux : livre à l’usage des Cavaliers ennuïeux & des Dames ennuiées.,,1
"Les Vertus du Camphre, avec des Avis pour faire du Thé camphré",,2
Les Visions de Mirza,,1
Les agréments du langage réduits à leurs principes,,1
Les amours de Cassandre,,1
Les amusements de la Campagne ou le Défi spirituel,,1
Les aventures de Télémaque.,,1
Les bons Mots de Charles II,,1
"Les ennuis du Carnaval, comédie en vers",,2
Les femmes savantes,,1
Les femmes savantes.,,1
Les leçons de la sagesse sur les défauts des hommes.,,1
Les précieuses ridicules.,,1
Les Élémens.,,1
Lettera riguardante il Lusso,,1
Lettere de’morti a’vivi,,1
Lettere di Sofronia,,1
Lettre sur les Anglois.,,1
Lettres Athéniennes,,1
Lettres Judaїques.,,1
Lettres Persanes,,1
Lettres Persanes.,,2
Lettres Persannes.,,1
Lettres Provinciales,,1
Lettres de Mme. de Sévigné,,1
Lettres escrites par Monsieur le Comte de la Chapelle a diverses personnes la veille de sa mort.,,1
Lettres galantes de Monsieur le Chevalier d’Her * * *,,1
Lettres galantes du Chevalier d’Her***.,,1
"Lettres galantes et philosophiques, par Mademoiselle de * * *",,2
Lettres pastorales de Monseigneur l'évêque de Londres aux fidèles de son diocèse.,,1
Lettres persanes.,,1
Lettres persannes.,,1
Lettres écrites par Louis de Montalte à un Provincial de ses amis et aux R.R. Pères Jésuites.,,1
Lettres.,,1
Levitikus,,1
Liberté de penser,,1
Libri,,1
Libro,,2
Libro d’Oro,,1
Livre des Bons Mots,,1
Lob des Demosthenes,,1
Logique en forme d'entretiens.,,1
London Chronicle,,1
Los Menestrales,,1
Los dos Presos,,1
Los eruditos a la violeta,,1
Love for Love,,1
Lugareña orgullosa,,1
Lumi,,1
Lux Orientalis,,1
Lysis,,1
L’Année Littéraire,,1
L’Art poétique,,2
L’Art poétique.,,2
L’Arte del Tacere,,1
L’Astrée,,1
L’Atalia,,1
L’Avare,,1
L’Avare Amoureux,,1
L’Avare ou l’École du mensonge,,1
L’Europe galante.,,1
L’Histoire ancienne.,,1
"L’Histoire naturelle, générale et particulière avec la description de Cabinet du Roy",,1
L’Homme Démasqué,,1
L’Homme Machine.,,3
L’Innocenza Vendicata,,1
L’abregé d’ l’ education,,1
L’amore di Dio,,1
"L’autre jour Colin malade, &c",,1
L’esprit des lois.,,1
"L’habitant de la Guadeloupe, Comédie en trois Actes",,1
L’histoire de Gil Blas de Santillane.,,1
L’innocent Adultere,,2
L’École des femmes,,1
MEDEA a GIASONE,,1
Macabées,,1
Macbeth,,2
Macbeth.,,1
Machabées,,1
Mahomet der Prophet,,1
Manni,,1
Mariages Persans,,1
Mariamne,,6
Marianna,,2
Marianne.,,1
Marot,,2
"Marte, e Amore",,1
Marzocco,,1
Massime Cinesi,,1
Maximen,,1
Maximes.,,1
Medicina Gymnastica,,1
Medico a suo dispetto,,1
